City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,durango,24.8333,-104.8333,80.31,7,58,15.68,MX,1708989360
231,vorgashor,67.5833,63.95,30.43,96,100,15.12,RU,1708989447
232,diepsloot,-25.9308,28.0123,67.98,89,30,1.01,ZA,1708989586
233,kurmuk,10.55,34.2833,84.52,20,100,8.08,SD,1708989586
234,yaren,-0.5472,166.916,83.82,75,70,8.41,NR,1708989586
235,saipan,15.1355,145.701,81.3,61,20,6.91,MP,1708989463
236,villa gesell,-37.2639,-56.973,72.05,87,11,13.38,AR,1708989444
237,guamal,9.1433,-74.2238,88.11,47,86,2.26,CO,1708989586
238,ancud,-41.8697,-73.8203,60.39,82,66,5.91,CL,1708989437
239,chibougamau,49.9168,-74.3659,4.62,85,20,3.44,CA,1708989425
240,funafuti,-8.5243,179.1942,91.4,66,40,6.91,TV,1708989587
241,katsuren-haebaru,26.3369,127.8719,65.17,79,100,9.22,JP,1708989500
242,palikir - national government center,6.9248,158.1611,83.25,89,75,6.91,FM,1708989587
243,voronezh,51.6664,39.17,26.46,63,0,11.18,RU,1708989587
244,kabalo,-6.05,26.9167,67.48,98,99,0.25,CD,1708989587
245,yuxia,34.0615,108.6291,32.61,76,36,3.74,CN,1708989587
246,aykhal,66.0,111.5,-19.77,93,45,9.51,RU,1708989448
247,fruita,39.1589,-108.729,65.57,22,0,19.57,US,1708989587
248,owando,-0.4819,15.8999,73.42,90,83,2.13,CG,1708989587
249,kalmunai,7.4167,81.8167,79.07,85,69,10.85,LK,1708989588
250,san antonio de pale,-1.4014,5.6325,83.25,78,99,6.11,GQ,1708989499
251,grudki,53.0949,23.6685,48.25,88,100,9.75,PL,1708989588
252,ust'-kut,56.7938,105.7672,-9.56,100,100,1.99,RU,1708989588
253,lazaro cardenas,17.9583,-102.2,80.67,69,5,10.29,MX,1708989328
254,santa marta de tormes,40.9506,-5.6272,35.04,82,11,23.0,ES,1708989588
255,usogorsk,63.4106,48.6872,33.67,98,100,7.92,RU,1708989588
256,queenstown,-31.8976,26.8753,47.41,91,16,3.6,ZA,1708989494
257,santa cruz cabralia,-16.2781,-39.0247,79.03,94,20,2.3,BR,1708989589
258,nemuro,43.3236,145.575,28.65,79,100,30.62,JP,1708989418
259,zhigalovo,54.8097,105.1578,-8.68,100,99,1.39,RU,1708989589
260,pechora,65.1472,57.2244,31.86,98,100,11.01,RU,1708989589
261,isiro,2.7739,27.616,68.36,89,100,4.07,CD,1708989589
262,polyarnyy,69.1989,33.4478,32.05,83,100,21.3,RU,1708989501
263,vallenar,-28.5708,-70.7581,77.25,44,2,6.11,CL,1708989589
264,oulad teima,30.3947,-9.209,60.08,74,87,2.71,MA,1708989589
265,vernon,50.2581,-119.2691,40.75,48,100,2.3,CA,1708989510
266,hithadhoo,-0.6,73.0833,82.81,77,56,10.36,MV,1708989445
267,saudarkrokur,65.7461,-19.6394,38.16,97,100,5.68,IS,1708989447
268,alice springs,-23.7,133.8833,87.35,19,42,1.14,AU,1708989590
269,weno,7.4515,151.8468,81.63,81,79,15.7,FM,1708989455
270,port saint john's,-31.6229,29.5448,64.27,78,94,7.18,ZA,1708989465
271,hermanus,-34.4187,19.2345,62.8,73,0,19.22,ZA,1708989424
272,holualoa,19.6228,-155.9522,76.78,75,75,8.05,US,1708989590
273,rio preto da eva,-2.6994,-59.6997,72.59,99,100,1.14,BR,1708989590
274,wladyslawowo,54.7909,18.4009,44.15,91,100,10.42,PL,1708989590
275,kedougou,12.5579,-12.1743,86.11,11,37,1.81,SN,1708989590
276,katsuura,35.1333,140.3,42.82,50,50,33.31,JP,1708989436
277,aras-asan,8.8908,126.3033,79.02,77,88,13.35,PH,1708989469
278,kumagunnam,13.1551,10.6342,79.38,17,99,9.24,NG,1708989591
279,manismata,-2.4667,111.0333,74.35,99,96,2.57,ID,1708989591
280,el calafate,-50.3408,-72.2768,60.91,58,50,5.28,AR,1708989465
281,inebolu,41.9747,33.7608,50.68,80,100,3.47,TR,1708989591
282,monteagudo,-19.8167,-63.9833,77.32,63,59,6.26,BO,1708989591
283,auki,-8.7676,160.7034,81.99,83,100,3.4,SB,1708989518
284,sredneuralsk,56.9892,60.4666,24.15,73,98,10.63,RU,1708989592
285,andergrove,-21.0833,149.1833,85.64,82,100,13.89,AU,1708989592
286,utrik,11.2278,169.8474,80.31,79,59,16.78,MH,1708989420
287,rimouski,48.4488,-68.524,30.38,76,71,13.78,CA,1708989460
288,mejit,10.2753,170.8646,80.73,82,78,19.66,MH,1708989592
289,santyoku,37.4406,129.1708,37.06,66,100,7.83,KR,1708989592
290,hasaki,35.7333,140.8333,41.4,45,1,30.38,JP,1708989495
291,krivosheino,57.3431,83.9261,-13.32,100,69,2.89,RU,1708989592
292,egilsstadir,65.2653,-14.3948,42.71,75,100,3.44,IS,1708989503
293,vilyuchinsk,52.9306,158.4028,3.47,65,0,5.73,RU,1708989420
294,alaghsas,17.0187,8.0168,73.33,10,39,11.23,NE,1708989573
295,trondheim,63.4305,10.3951,33.89,91,79,3.58,NO,1708989485
296,kabala,9.5833,-11.55,78.69,39,49,5.3,SL,1708989593
297,kismayo,-0.3582,42.5454,81.72,81,88,12.57,SO,1708989593
298,cold lake,54.4502,-110.2017,-2.25,55,100,9.22,CA,1708989593
299,praia da vitoria,38.7333,-27.0667,60.76,72,75,13.13,PT,1708989467
300,porto murtinho,-21.6989,-57.8825,91.85,41,82,8.12,BR,1708989329
301,parnarama,-5.6817,-43.0933,75.9,93,100,2.48,BR,1708989593
302,nagqu,31.5,92.0,12.61,54,94,2.64,CN,1708989482
303,newcastle,-32.9272,151.7765,73.81,95,100,6.91,AU,1708989593
304,pandan,14.0453,124.1694,78.15,70,74,14.63,PH,1708989594
305,rongelap,11.1635,166.8941,79.75,83,41,18.37,MH,1708989505
